Fit ID	4318	152	4341	154	219	149	238	221	233	210	213	4317	220	4333	4356	215	3044-400	4362	224	223	
c1	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	
c105	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	
c107	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	
c109	1.07e+06	1.69e+05	5.34e+08	3.00e+09	1.07e+07	5.34e+05	1.90e+07	9.50e+06	1.69e+09	3.00e+05	5.99e+05	6.73e+07	5.99e+06	3.00e+06	5.34e+08	2.68e+08	5.34e+07	5.34e+07	1.90e+06	5.34e+06	
c113	8.00e+05	8.00e+05	4.50e+05	1.42e+06	4.50e+05	4.50e+05	4.50e+05	2.53e+06	4.50e+05	8.00e+05	4.50e+05	2.53e+05	1.42e+06	8.00e+05	8.00e+06	4.50e+05	4.50e+05	8.00e+05	4.01e+05	1.42e+06	
c12	1.42e+08	7.13e+06	4.50e+06	2.53e+08	2.53e+07	1.60e+08	5.05e+06	7.13e+07	1.27e+08	5.05e+06	2.53e+07	8.00e+05	4.01e+07	4.01e+06	5.66e+07	8.00e+07	1.60e+05	8.00e+06	1.60e+06	4.50e+07	
c14	4.25e+05	3.79e+08	1.69e+07	6.73e+06	6.00e+06	1.51e+09	2.39e+06	1.07e+06	1.34e+05	1.20e+08	1.07e+07	1.07e+07	1.90e+08	3.37e+06	3.37e+08	6.00e+06	1.07e+06	2.39e+06	1.07e+09	1.90e+09	
c140	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	
c141	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	
c143	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	7.40e+02	
c22	1.42e+04	1.59e+06	7.11e+03	4.00e+03	2.25e+04	2.25e+04	7.11e+03	1.13e+05	3.56e+03	1.26e+05	7.98e+02	2.00e+05	7.11e+05	3.18e+05	5.65e+04	3.18e+03	7.11e+06	1.00e+04	1.26e+04	1.13e+04	
