Fit ID	170	204	207	206	165	143	205	166	5044	162	141	144	157	147	161	160	172	145	169	171	
c1	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	5.00e-09	
c105	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	1.20e+09	
c107	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	9.05e+05	
c109	5.34e+04	3.00e+09	9.50e+06	5.34e+08	3.00e+08	3.00e+05	9.50e+08	1.69e+08	1.69e+07	3.00e+07	3.00e+08	5.34e+08	9.50e+06	1.69e+09	1.69e+09	8.47e+04	1.69e+06	3.00e+05	3.00e+08	5.34e+05	
c113	8.00e+05	4.50e+05	2.53e+05	8.00e+05	4.50e+05	1.42e+05	4.50e+05	1.42e+06	8.00e+05	8.00e+05	2.53e+07	8.00e+06	4.50e+05	4.50e+05	2.53e+05	1.42e+06	4.50e+06	2.53e+05	4.50e+06	8.00e+04	
c12	4.50e+05	4.50e+06	4.50e+06	2.53e+06	8.00e+03	1.42e+08	1.42e+08	1.42e+06	1.42e+08	2.84e+07	4.50e+06	4.50e+06	1.60e+06	1.42e+06	2.53e+07	4.50e+05	2.53e+05	5.05e+06	5.66e+06	2.53e+06	
c14	1.90e+06	3.01e+07	1.07e+07	3.37e+06	1.07e+06	1.90e+09	1.07e+07	1.07e+09	6.00e+04	3.37e+07	3.37e+06	3.37e+08	6.00e+07	1.90e+07	1.07e+06	1.90e+06	1.90e+06	3.37e+06	6.00e+06	9.51e+06	
c140	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	4.44e+03	
c141	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	1.62e+05	
