# Notes: Data obtained In-Cell Western (see Methods and Materials).
# Notes: All data normalized between 0 and 100.
# Notes: 0 indicates basal value; 100 indicates peak value for one signal across all conditions.
# Notes: 0 signal in pErbB1 indicate undetectable levels.

Condition: High (5e-9 M) EGF Measured Signal: pAkt
Time (min)	Signal	Standard Error
0	14	4.2
2.5	9.5	2.2
5	10	1.8
7.5	7.5	1.4
10	5.1	1.4
15	3.1	1.2
30	1.5	0.98
45	0.69	0.5
60	0.29	1.1
1.2e+02	0	0.54

Condition: High (5e-9 M) EGF Measured Signal: pErbB1
Time (min)	Signal	Standard Error
0	0	8.5
2.5	78	24
5	91	22
7.5	1e+02	25
10	97	16
15	99	19
30	83	9.7
45	69	12
60	61	17
1.2e+02	20	15

Condition: High (5e-9 M) EGF Measured Signal: pERK
Time (min)	Signal	Standard Error
0	51	5.8
2.5	51	6.3
5	70	7.5
7.5	86	2.5
10	86	2.1
15	76	2.5
30	26	2.3
45	32	2
60	29	2.6
1.2e+02	14	3.9

Condition: High (5e-9 M) HRG Measured Signal: pAkt
Time (min)	Signal	Standard Error
0	14	0.57
2.5	67	1.4
5	94	6.3
7.5	97	4.1
10	1e+02	6.1
15	80	3.1
30	89	3.6
45	67	3.7
60	61	3.8
1.2e+02	48	3

Condition: High (5e-9 M) HRG Measured Signal: pErbB1
Time (min)	Signal	Standard Error
0	0	0
2.5	0	0
5	0	0
7.5	0	0
10	0	0
15	0	0
30	0	0
45	0	0
60	0	0
1.2e+02	0	0

Condition: High (5e-9 M) HRG Measured Signal: pERK
Time (min)	Signal	Standard Error
0	57	7
2.5	67	2.5
5	93	2.6
7.5	97	4.6
10	1e+02	2.4
15	88	4.8
30	42	1.6
45	24	1.4
60	12	2.8
1.2e+02	37	3.5

Condition: Low (1e-11 M) EGF Measured Signal: pAkt
Time (min)	Signal	Standard Error
0	13	1.9
2.5	6.7	0.64
5	8.1	0.63
7.5	3.9	1.3
10	1.8	0.72
15	1.8	0.058
30	0.1	0.073
45	0	0.33
60	0	0.74
1.2e+02	0	0.43

Condition: Low (1e-11 M) EGF Measured Signal: pErbB1
Time (min)	Signal	Standard Error
0	0	13
2.5	0	10
5	0	8.2
7.5	0	6.6
10	11	18
15	10	5.3
30	0	2
45	0	3.2
60	0	2.9
1.2e+02	0	9

Condition: Low (1e-11 M) EGF Measured Signal: pERK
Time (min)	Signal	Standard Error
0	49	8
2.5	49	0.2
5	83	2.3
7.5	88	4.6
10	85	5.1
15	69	2.4
30	25	1.9
45	13	1.2
60	3.1	0.13
1.2e+02	12	1.4

Condition: Low (1e-10 M) HRG Measured Signal: pAkt
Time (min)	Signal	Standard Error
0	12	2.8
2.5	11	1.9
5	24	2.1
7.5	35	5.8
10	33	2.4
15	24	1
30	32	5
45	20	2.6
60	18	2.6
1.2e+02	15	0.67

Condition: Low (1e-10 M) HRG Measured Signal: pErbB1
Time (min)	Signal	Standard Error
0	0	0
2.5	0	0
5	0	0
7.5	0	0
10	0	0
15	0	0
30	0	0
45	0	0
60	0	0
1.2e+02	0	0

Condition: Low (1e-10 M) HRG Measured Signal: pERK
Time (min)	Signal	Standard Error
0	50	4.3
2.5	54	5.2
5	79	4.8
7.5	89	6.4
10	90	13
15	75	6
30	34	2.8
45	19	1.1
60	11	0.46
1.2e+02	37	2.1

Condition: High (5e-9 M) EGF Measured Signal: akt-error
Time (min)	Signal	Standard Error
0	0	0.05
1.5e+02	0.95	0.076
3e+02	1	0.19
4.5e+02	0.75	0.077
6e+02	0.51	0.092
9e+02	0.31	0.067
1.8e+03	0.15	0.066
2.7e+03	0.07	0.062
3.6e+03	0.029	0.051
7.2e+03	0	0.05

Condition: High (5e-9 M) EGF Measured Signal: egfr-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	7.9	1.4
3e+02	9.1	0.98
4.5e+02	10	0.75
6e+02	9.7	0.53
9e+02	9.9	1.9
1.8e+03	8.4	0.57
2.7e+03	7	0.52
3.6e+03	6.3	0.84
7.2e+03	2.3	0.58

Condition: High (5e-9 M) EGF Measured Signal: erk-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	5.1	0.42
3e+02	7	0.27
4.5e+02	8.6	0.49
6e+02	8.6	0.67
9e+02	7.6	0.33
1.8e+03	2.6	0.17
2.7e+03	3.2	0.58
3.6e+03	2.9	0.44
7.2e+03	1.4	0.0048
1.1e+04	1.4	0.15

Condition: High (5e-9 M) HRG Measured Signal: akt-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	6.7	0.28
3e+02	9.4	0.27
4.5e+02	9.7	0.93
6e+02	10	2.1
9e+02	8	1.3
1.8e+03	8.9	1.7
2.7e+03	6.7	1.4
3.6e+03	6.1	1
7.2e+03	4.8	0.38

Condition: High (5e-9 M) HRG Measured Signal: egfr-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	0.22	0.009
3e+02	0.096	0.019
4.5e+02	0.17	0.034
6e+02	0.14	0.016
9e+02	0.21	0.02
1.8e+03	0.15	0.018
2.7e+03	0	0
3.6e+03	0	0
7.2e+03	0	0
1.1e+04	0	0

Condition: High (5e-9 M) HRG Measured Signal: erk-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	6.7	1.1
3e+02	9.3	1.8
4.5e+02	9.7	0.41
6e+02	10	1.9
9e+02	8.8	0.87
1.8e+03	4.2	0.47
2.7e+03	2.4	0.39
3.6e+03	1.2	0.22
7.2e+03	3.7	0.32
1.1e+04	4.6	0.49

Condition: Low (1e-11 M) EGF Measured Signal: akt-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	0.67	0.099
3e+02	0.81	0.11
4.5e+02	0.39	0.059
6e+02	0.18	0.036
9e+02	0.18	0.018
1.8e+03	0.01	0.00067
2.7e+03	0	0
3.6e+03	0	0
7.2e+03	0	0
1.1e+04	0	0

Condition: Low (1e-11 M) EGF Measured Signal: egfr-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	0.45	0.092
3e+02	0.51	0.11
4.5e+02	0.46	0.048
6e+02	1.8	0.073
9e+02	1.7	0.27
1.8e+03	0.55	0.12
2.7e+03	0.39	0.062
3.6e+03	0	0
7.2e+03	0	0
1.1e+04	0	0

Condition: Low (1e-11 M) EGF Measured Signal: erk-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	4.9	0.69
3e+02	8.3	1.1
4.5e+02	8.8	1.4
6e+02	8.5	1.5
9e+02	6.9	0.74
1.8e+03	2.5	0.12
2.7e+03	1.3	0.28
3.6e+03	0.31	0.043
7.2e+03	1.2	0.17

Condition: Low (1e-10 M) HRG Measured Signal: akt-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	1.1	0.17
3e+02	2.4	0.17
4.5e+02	3.5	0.093
6e+02	3.3	0.43
9e+02	2.4	0.33
1.8e+03	3.2	0.13
2.7e+03	2	0.067
3.6e+03	1.8	0.21
7.2e+03	1.5	0.29
1.1e+04	1.2	0.14

Condition: Low (1e-10 M) HRG Measured Signal: egfr-error
Time (min)	Signal	Standard Error
0	0	0
1.5e+02	0.017	0.0023
3e+02	0	0
4.5e+02	0.033	0.0074
